33/23,结束于16:11,52K/37K,27分钟,单人排位,10045216942%0D
39/16,结束于16:44,48K/32K,25分钟,单人排位,10045953221%0D
42/42,结束于17:34,75K/66K,41分钟,单人排位,10046997726%0D
41/26,结束于18:15,61K/47K,30分钟,单人排位,10047865709%0D
48/33,结束于21:19,68K/56K,33分钟,单人排位,10051104945%0D
48/45,结束于23:39,73K/75K,39分钟,单人排位,10053560687%0D
57/50,结束于14:08,75K/66K,37分钟,匹配赛,10525276606%0D
32/8,结束于20:53,42K/26K,23分钟,单人排位,9734296730%0D
45/30,结束于01:09,75K/61K,40分钟,单人排位,9738852015%0D
26/12,结束于01:37,42K/28K,22分钟,单人排位,9739113785%0D
23/9,结束于02:59,35K/26K,20分钟,单人排位,9739721742%0D
27/13,结束于03:30,40K/26K,20分钟,单人排位,9739910411%0D
32/17,结束于13:23,40K/30K,22分钟,单人排位,9744092068%0D
55/31,结束于22:04,77K/58K,38分钟,单人排位,9752718086%0D
38/30,结束于22:49,67K/55K,36分钟,单人排位,9753437131%0D
37/31,结束于23:41,58K/54K,33分钟,单人排位,9754095018%0D
47/28,结束于00:00,63K/49K,30分钟,单人排位,9765927500%0D
38/19,结束于00:38,63K/50K,31分钟,单人排位,9766234374%0D
24/2,结束于01:07,40K/21K,20分钟,单人排位,9766429813%0D
32/24,结束于01:38,55K/40K,25分钟,单人排位,9766603936%0D
33/16,结束于21:10,50K/35K,25分钟,单人排位,9774779351%0D
23/7,结束于21:57,39K/24K,20分钟,单人排位,9775559509%0D
36/30,结束于23:15,65K/55K,34分钟,单人排位,9776751277%0D
41/28,结束于00:20,74K/70K,42分钟,单人排位,9777606115%0D
57/42,结束于01:15,93K/79K,49分钟,单人排位,9777989747%0D
57/42,结束于22:57,82K/70K,41分钟,单人排位,9788239498%0D
58/40,结束于23:49,90K/71K,44分钟,单人排位,9788880491%0D
46/18,结束于00:24,59K/39K,29分钟,单人排位,9789378319%0D
51/39,结束于01:13,80K/76K,41分钟,单人排位,9789712179%0D
30/14,结束于22:17,44K/32K,23分钟,单人排位,9799120058%0D
37/15,结束于22:56,63K/43K,30分钟,单人排位,9799722613%0D
27/15,结束于23:25,45K/31K,23分钟,单人排位,9800102932%0D
55/35,结束于00:06,71K/55K,34分钟,单人排位,9800716170%0D
42/25,结束于00:53,79K/60K,39分钟,单人排位,9801097676%0D
30/13,结束于01:29,52K/37K,26分钟,单人排位,9801321483%0D
35/37,结束于00:30,80K/82K,49分钟,单人排位,9814583473%0D
20/8,结束于01:02,33K/26K,20分钟,单人排位,9814964203%0D
48/34,结束于01:45,71K/59K,36分钟,单人排位,9815372411%0D
32/13,结束于09:43,45K/32K,25分钟,单人排位,9817853347%0D
56/34,结束于10:22,68K/50K,31分钟,单人排位,9818145924%0D
34/20,结束于01:36,71K/58K,38分钟,单人排位,9833053310%0D
24/11,结束于02:06,44K/31K,22分钟,单人排位,9833307257%0D
44/21,结束于02:37,49K/37K,25分钟,单人排位,9833543640%0D
29/9,结束于03:08,49K/27K,24分钟,单人排位,9833751732%0D
35/34,结束于00:18,58K/52K,32分钟,单人排位,9882929846%0D
27/18,结束于01:14,54K/46K,31分钟,单人排位,9883356926%0D
31/21,结束于00:27,70K/51K,37分钟,单人排位,9895991378%0D
36/15,结束于01:00,53K/37K,27分钟,单人排位,9896255889%0D
31/17,结束于01:30,42K/27K,21分钟,单人排位,9896460074%0D
56/30,结束于02:17,80K/59K,41分钟,单人排位,9896719398%0D
53/33,结束于02:15,73K/54K,34分钟,单人排位,9912299174%0D
31/12,结束于10:25,43K/24K,20分钟,单人排位,9914885561%0D
43/29,结束于11:10,69K/56K,36分钟,单人排位,9915331446%0D
42/17,结束于11:54,58K/48K,31分钟,单人排位,9915831477%0D
39/12,结束于12:29,49K/31K,24分钟,单人排位,9916406498%0D
