蒸汽机器人,电信一,LightenPan,12-19,NORMAL,失败,匹配赛,10525276606
蒸汽机器人,电信一,LightenPan,11-16,RANKED,胜利,排位赛,10053560687
暗裔剑魔,电信一,LightenPan,11-16,RANKED,胜利,排位赛,10051104945
暗裔剑魔,电信一,LightenPan,11-16,RANKED,胜利,排位赛,10047865709
堕落天使,电信一,LightenPan,11-16,RANKED,失败,排位赛,10046997726
堕落天使,电信一,LightenPan,11-16,RANKED,失败,排位赛,10045953221
皮城女警,电信一,LightenPan,11-16,RANKED,失败,排位赛,10045216942
堕落天使,电信一,LightenPan,11-11,RANKED,胜利,排位赛,9972250967
堕落天使,电信一,LightenPan,11-11,RANKED,失败,排位赛,9971784507
赏金猎人,电信一,LightenPan,11-08,RANKED,胜利,排位赛,9929384286
蒸汽机器人,电信一,LightenPan,11-08,RANKED,胜利,排位赛,9928632839
蒸汽机器人,电信一,LightenPan,11-08,RANKED,失败,排位赛,9927981568
皮城女警,电信一,LightenPan,11-08,RANKED,胜利,排位赛,9924021952
皮城女警,电信一,LightenPan,11-08,RANKED,胜利,排位赛,9923400061
堕落天使,电信一,LightenPan,11-08,RANKED,失败,排位赛,9917912845
水晶先锋,电信一,LightenPan,11-08,RANKED,失败,排位赛,9917197693
堕落天使,电信一,LightenPan,11-08,RANKED,胜利,排位赛,9916406498
蒸汽机器人,电信一,LightenPan,11-08,RANKED,胜利,排位赛,9915831477
堕落天使,电信一,LightenPan,11-08,RANKED,胜利,排位赛,9915331446
迅捷斥候,电信一,LightenPan,11-08,RANKED,胜利,排位赛,9914885561
堕落天使,电信一,LightenPan,11-08,RANKED,失败,排位赛,9912299174
堕落天使,电信一,LightenPan,11-07,RANKED,失败,排位赛,9896719398
皮城女警,电信一,LightenPan,11-07,RANKED,失败,排位赛,9896460074
唤潮鲛姬,电信一,LightenPan,11-07,RANKED,失败,排位赛,9896255889
堕落天使,电信一,LightenPan,11-07,RANKED,胜利,排位赛,9895991378
堕落天使,电信一,LightenPan,11-06,RANKED,胜利,排位赛,9883356926
探险家,电信一,LightenPan,11-06,RANKED,失败,排位赛,9882929846
迅捷斥候,电信一,LightenPan,11-02,RANKED,失败,排位赛,9833751732
大发明家,电信一,LightenPan,11-02,RANKED,失败,排位赛,9833543640
皮城女警,电信一,LightenPan,11-02,RANKED,失败,排位赛,9833307257
魂锁典狱长,电信一,LightenPan,11-02,RANKED,失败,排位赛,9833053310
堕落天使,电信一,LightenPan,11-01,RANKED,胜利,排位赛,9818145924
堕落天使,电信一,LightenPan,11-01,RANKED,胜利,排位赛,9817853347
堕落天使,电信一,LightenPan,11-01,RANKED,失败,排位赛,9815372411
蒸汽机器人,电信一,LightenPan,11-01,RANKED,胜利,排位赛,9814964203
风暴之怒,电信一,LightenPan,11-01,RANKED,失败,排位赛,9814583473
皮城女警,电信一,LightenPan,10-31,RANKED,失败,排位赛,9801321483
皮城女警,电信一,LightenPan,10-31,RANKED,失败,排位赛,9801097676
皮城女警,电信一,LightenPan,10-31,RANKED,失败,排位赛,9800716170
荆棘之兴,电信一,LightenPan,10-30,RANKED,胜利,排位赛,9800102932
堕落天使,电信一,LightenPan,10-30,RANKED,胜利,排位赛,9799722613
皮城女警,电信一,LightenPan,10-30,RANKED,胜利,排位赛,9799120058
迅捷斥候,电信一,LightenPan,10-30,RANKED,失败,排位赛,9789712179
皮城女警,电信一,LightenPan,10-30,RANKED,失败,排位赛,9789378319
皮城女警,电信一,LightenPan,10-29,RANKED,失败,排位赛,9788880491
暗裔剑魔,电信一,LightenPan,10-29,RANKED,失败,排位赛,9788239498
皮城女警,电信一,LightenPan,10-29,RANKED,胜利,排位赛,9777989747
堕落天使,电信一,LightenPan,10-29,RANKED,失败,排位赛,9777606115
皮城女警,电信一,LightenPan,10-28,RANKED,失败,排位赛,9776751277
唤潮鲛姬,电信一,LightenPan,10-28,RANKED,胜利,排位赛,9775559509
皮城女警,电信一,LightenPan,10-28,RANKED,失败,排位赛,9774779351
扭曲树精,电信一,LightenPan,10-28,RANKED,胜利,排位赛,9766603936
水晶先锋,电信一,LightenPan,10-28,RANKED,失败,排位赛,9766429813
皮城女警,电信一,LightenPan,10-28,RANKED,胜利,排位赛,9766234374
暗裔剑魔,电信一,LightenPan,10-28,RANKED,失败,排位赛,9765927500
堕落天使,电信一,LightenPan,10-26,RANKED,胜利,排位赛,9754095018
皮城女警,电信一,LightenPan,10-26,RANKED,胜利,排位赛,9753437131
堕落天使,电信一,LightenPan,10-26,RANKED,胜利,排位赛,9752718086
暗裔剑魔,电信一,LightenPan,10-26,RANKED,胜利,排位赛,9744092068
皮城女警,电信一,LightenPan,10-26,RANKED,胜利,排位赛,9739910411
堕落天使,电信一,LightenPan,10-26,RANKED,胜利,排位赛,9739721742
皮城女警,电信一,LightenPan,10-26,RANKED,失败,排位赛,9739113785
皮城女警,电信一,LightenPan,10-26,RANKED,胜利,排位赛,9738852015
扭曲树精,电信一,LightenPan,10-25,RANKED,胜利,排位赛,9734296730
